movie_name,movie_rating,movie_release,movie_duration,movie_desc
Modern Times,8.5,25-02-1936,87,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Hotaru no haka,8.5,16-04-1988,89,A young boy and his little sister struggle to survive in Japan during World War II.
American History X,8.5,18-03-1999,119,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
Whiplash,8.5,15-01-2015,106,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.
Gladiator,8.5,11-05-2000,155,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
City Lights,8.5,07-03-1931,87,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
The Departed,8.5,12-10-2006,151,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Intouchables,8.5,13-12-2012,112,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
The Prestige,8.5,19-10-2006,130,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Casablanca,8.5,23-01-1943,102,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
C&apos;era una volta il West,8.5,21-12-1968,165,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
Rear Window,8.5,01-09-1954,112,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
Nuovo Cinema Paradiso,8.5,17-11-1988,155,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema&apos;s projectionist.
Alien,8.4,31-10-1979,117,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
Apocalypse Now,8.4,15-08-1979,147,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
Memento,8.4,28-06-2001,113,A man with short-term memory loss attempts to track down his wife&apos;s murderer.
Raiders of the Lost Ark,8.4,25-12-1981,115,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler&apos;s Nazis can obtain its awesome powers."
The Great Dictator,8.4,23-10-1945,125,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.
Django Unchained,8.4,21-03-2013,165,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
Das Leben der Anderen,8.4,01-03-2007,137,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
Paths of Glory,8.4,25-12-1957,88,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
Sunset Blvd.,8.4,04-08-1950,110,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
WALL·E,8.4,28-08-2008,98,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Avengers: Infinity War,8.4,25-04-2018,149,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Witness for the Prosecution,8.4,06-02-1958,116,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Spider-Man: Into the Spider-Verse,8.4,13-12-2018,117,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
The Shining,8.4,13-06-1980,146,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,29-01-1964,95,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
Mononoke-hime,8.4,12-07-1997,134,"On a journey to find the cure for a Tatarigami&apos;s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Oldeuboi,8.4,14-10-2004,120,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
Joker,8.4,03-10-2019,122,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
Kimi no na wa.,8.4,03-11-2016,106,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
Coco,8.4,23-11-2017,105,"Aspiring musician Miguel, confronted with his family&apos;s ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
The Dark Knight Rises,8.4,19-07-2012,164,"Eight years after the Joker&apos;s reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Aliens,8.3,06-11-1986,137,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
Once Upon a Time in America,8.3,01-06-1984,229,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
Avengers: Endgame,8.4,24-04-2019,181,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe."
Capharnaüm,8.4,20-09-2018,126,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
Das Boot,8.3,17-09-1981,149,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
Tengoku to jigoku,8.4,01-03-1963,143,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur&apos;s son is kidnapped by mistake and held for ransom.
3 Idiots,8.4,24-12-2009,170,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them &quot;idiots&quot;."
Toy Story,8.3,07-03-1996,81,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy&apos;s room.
Amadeus,8.3,19-09-1984,160,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart&apos;s talent and claimed to have murdered him."
American Beauty,8.3,02-03-2000,122,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter&apos;s best friend.
Braveheart,8.3,24-05-1995,178,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Inglourious Basterds,8.3,17-09-2009,153,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner&apos;s vengeful plans for the same."
Good Will Hunting,8.3,05-03-1998,126,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
Hamilton,8.4,23-02-2021,160,"The real life of one of America&apos;s foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
Star Wars: Episode VI - Return of the Jedi,8.3,25-05-1983,131,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor&apos;s tr"
Idi i smotri,8.3,03-09-1985,142,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
2001: A Space Odyssey,8.3,12-05-1968,149,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world&apos;s greatest supercomput"
Reservoir Dogs,8.3,02-09-1992,99,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Taare Zameen Par,8.4,21-12-2007,165,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
Vertigo,8.3,22-05-1958,128,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
M - Eine Stadt sucht einen Mörder,8.3,31-08-1931,117,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Jagten,8.3,06-06-2013,115,"A teacher lives a lonely life, all the while struggling over his son&apos;s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent littl"
Citizen Kane,8.3,05-09-1941,119,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; &apos;Rosebud&apos;."
Requiem for a Dream,8.3,12-07-2001,102,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Singin&apos; in the Rain,8.3,11-04-1952,103,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
North by Northwest,8.3,18-12-1959,136,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
Eternal Sunshine of the Spotless Mind,8.3,19-03-2004,108,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Ikiru,8.3,09-10-1952,143,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Ladri di biciclette,8.3,24-11-1948,89,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
Lawrence of Arabia,8.3,11-12-1962,228,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
The Kid,8.3,06-02-1921,68,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
Full Metal Jacket,8.3,10-07-1987,116,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Incendies,8.3,18-08-2011,131,Twins journey to the Middle East to discover their family history and fulfill their mother&apos;s last wishes.
Dangal,8.4,21-06-2017,161,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
The Apartment,8.3,29-06-1960,125,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
Double Indemnity,8.3,06-07-1944,107,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
Metropolis,8.3,06-02-1927,153,"In a futuristic city sharply divided between the working class and the city planners, the son of the city&apos;s mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
The Father,8.3,15-04-2021,97,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
Jodaeiye Nader az Simin,8.3,08-03-2012,123,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer&apos;s disease.
Taxi Driver,8.2,09-02-1976,114,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
A Clockwork Orange,8.3,13-01-1972,136,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn&apos;t go as planned."
The Sting,8.3,25-12-1973,129,Two grifters team up to pull off the ultimate con.
Scarface,8.3,09-12-1983,170,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Snatch,8.2,29-03-2001,104,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
1917,8.3,09-01-2020,119,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Le fabuleux destin d&apos;Amélie Poulain,8.3,31-12-2001,122,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
To Kill a Mockingbird,8.2,16-03-1963,129,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice."
Toy Story 3,8.2,17-06-2010,103,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it&apos;s up to Woody to convince the other toys that they weren&apos;t abandoned and to return home."
Per qualche dollaro in più,8.2,20-12-1965,132,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
Pather Panchali,8.4,26-08-1955,125,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
Up,8.2,07-08-2009,96,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
Indiana Jones and the Last Crusade,8.2,24-05-1989,127,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry &quot;Indiana&quot; Jones, Jr. finds himself up against Adolf Hitler&apos;s Nazis again to stop them from obtaining its powers."
Heat,8.2,29-02-1996,170,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
L.A. Confidential,8.2,20-11-1997,138,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
Ran,8.2,01-06-1985,162,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
Yôjinbô,8.2,25-04-1961,110,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Die Hard,8.2,20-07-1988,132,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
Green Book,8.2,24-01-2019,130,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
Rashômon,8.2,26-08-1950,88,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai&apos;s ghost and a woodcutter."
Der Untergang,8.2,16-09-2004,156,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator&apos;s final days in his Berlin bunker at the end of WWII."
