movie_name,movie_rating,movie_release,movie_duration,movie_desc
Tôkyô monogatari,8.2,03-11-1953,136,"An old couple visit their children and grandchildren in the city, but receive little attention."
On the Waterfront,8.1,22-06-1954,108,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate&apos;s victims."
Babam ve Oglum,8.2,18-11-2005,112,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
Relatos salvajes,8.1,21-08-2014,122,Six short stories that explore the extremities of human behavior involving people in distress.
Prisoners,8.1,19-09-2013,153,"When Keller Dover&apos;s daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Stalker,8.1,17-04-1980,162,A guide leads two men through an area known as the Zone to find a room that grants wishes.
The Grand Budapest Hotel,8.1,20-03-2014,99,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel&apos;s glorious years under an exceptional concierge."
The Deer Hunter,8.1,23-02-1979,183,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
The General,8.1,02-01-1927,67,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy "
Sherlock Jr.,8.2,11-05-1924,45,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend&apos;s father&apos;s pocketwatch."
Gran Torino,8.1,26-03-2009,116,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski&apos;s prized possession: a 1972 Gran Torino."
Persona,8.1,18-10-1966,85,A nurse is put in charge of a mute actress and finds that their personae are melding together.
Before Sunrise,8.1,27-01-1995,101,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Mary and Max.,8.1,24-03-2011,92,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
Catch Me If You Can,8.1,30-01-2003,141,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
Dune: Part One,8.1,16-09-2021,155,Feature adaptation of Frank Herbert&apos;s science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.
Mr. Smith Goes to Washington,8.1,19-10-1939,129,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his char"
Barry Lyndon,8.1,18-12-1975,185,An Irish rogue wins the heart of a rich widow and assumes her dead husband&apos;s aristocratic position in 18th-century England.
In the Name of the Father,8.1,27-12-1993,133,A man&apos;s coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
Z,8.2,26-02-1969,127,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
Hacksaw Ridge,8.1,19-01-2017,139,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
Gone Girl,8.1,09-10-2014,149,"With his wife&apos;s disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it&apos;s suspected that he may not be innocent."
Room,8.1,14-01-2016,118,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
La passion de Jeanne d&apos;Arc,8.1,25-10-1928,110,"In 1431, Jeanne d&apos;Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
Andhadhun,8.2,16-12-2018,139,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
Ford v Ferrari,8.1,14-11-2019,152,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
12 Years a Slave,8.1,19-12-2013,134,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
To Be or Not to Be,8.2,06-03-1942,99,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier&apos;s efforts to track down a German spy."
The Big Lebowski,8.1,27-08-1998,117,"Ultimate L.A. slacker Jeff &quot;The Dude&quot; Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire&apos;s missing"
Dead Poets Society,8.1,09-06-1989,128,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
Harry Potter and the Deathly Hallows: Part 2,8.1,14-07-2011,130,"Harry, Ron, and Hermione search for Voldemort&apos;s remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Ben-Hur,8.1,18-11-1959,212,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
How to Train Your Dragon,8.1,25-03-2010,98,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Mad Max: Fury Road,8.1,14-05-2015,120,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
Höstsonaten,8.2,08-10-1978,99,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young."
Million Dollar Baby,8.1,17-02-2005,132,A determined woman works with a hardened boxing trainer to become a professional.
Le salaire de la peur,8.1,22-04-1953,131,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
Stand by Me,8.1,22-08-1986,89,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
Network,8.1,27-11-1976,121,"A television network cynically exploits a deranged former anchor&apos;s ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
Ah-ga-ssi,8.1,07-07-2016,145,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Logan,8.1,02-03-2017,137,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
La haine,8.1,21-08-1997,98,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
Koe no katachi,8.2,09-03-2017,130,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
Cool Hand Luke,8.1,01-11-1967,127,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
Hachi: A Dog&apos;s Tale,8.1,21-01-2010,93,A college professor bonds with an abandoned dog he takes into his home.
Gangs of Wasseypur,8.2,02-08-2012,321,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
Les quatre cents coups,8.1,03-06-1959,99,"A young boy, left without attention, delves into a life of petty crime."
Platoon,8.1,06-02-1987,120,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
Spotlight,8.1,21-01-2016,129,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
"Monsters, Inc.",8.1,15-11-2001,92,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
Rebecca,8.1,12-04-1940,130,A self-conscious woman juggles adjusting to her new role as an aristocrat&apos;s wife and avoiding being intimidated by his first wife&apos;s spectral presence.
Life of Brian,8.1,14-04-2018,94,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
Fa yeung nin wah,8.1,29-09-2000,98,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Hotel Rwanda,8.1,20-01-2005,121,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
Eskiya,8.2,29-11-1996,128,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
Rush,8.1,26-09-2013,123,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
Rocky,8.1,03-12-1976,120,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
Amores perros,8.1,16-06-2000,154,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life&apos;s harsh realities, all in the name of love."
Into the Wild,8.1,19-10-2007,148,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, C"
Kaze no tani no Naushika,8.1,01-03-2020,117,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
Before Sunset,8.1,30-07-2004,80,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse&apos;s book tour."
It Happened One Night,8.1,22-02-1934,105,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
Kimetsu no Yaiba: Mugen Ressha-Hen,8.2,16-10-2020,117,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado&apos;s journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
Fanny och Alexander,8.1,17-12-1982,188,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls."
La battaglia di Algeri,8.1,09-09-1966,121,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
Drishyam,8.3,19-12-2013,160,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
Le notti di Cabiria,8.1,16-10-1957,110,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
Strasti po Andreyu,8.1,16-10-1957,205,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
Drishyam 2,8.6,19-02-2021,152,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.1,16-10-1957,87,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).
